soln,region
"[661, 681, 646, 654, 660, 674, 668, 673, 678]",Northern Ireland
"[661, 681, 646, 654, 660, 674, 668, 671, 679]",Northern Ireland
"[661, 681, 646, 654, 659, 668, 676, 678, 670]",Northern Ireland
"[661, 681, 646, 654, 659, 668, 675, 673, 678]",Northern Ireland
"[661, 681, 646, 654, 659, 668, 675, 671, 679]",Northern Ireland
"[661, 681, 646, 654, 659, 677, 667, 678, 670]",Northern Ireland
"[661, 681, 646, 654, 659, 677, 666, 682, 671]",Northern Ireland
"[661, 681, 646, 654, 659, 677, 666, 670, 684]",Northern Ireland
"[661, 681, 646, 655, 658, 659, 684, 666, 677]",Northern Ireland
"[661, 681, 646, 655, 658, 659, 678, 676, 668]",Northern Ireland
"[661, 681, 646, 655, 658, 659, 678, 667, 677]",Northern Ireland
"[661, 681, 647, 668, 679, 671, 658, 652, 674]",Northern Ireland
"[661, 681, 647, 668, 679, 671, 651, 660, 674]",Northern Ireland
"[661, 681, 647, 668, 679, 671, 651, 659, 675]",Northern Ireland
"[661, 681, 647, 668, 678, 652, 657, 680, 676]",Northern Ireland
"[661, 681, 647, 668, 678, 652, 657, 674, 682]",Northern Ireland
"[661, 681, 647, 668, 678, 652, 658, 673, 674]",Northern Ireland
"[661, 681, 647, 668, 678, 653, 657, 659, 676]",Northern Ireland
"[661, 681, 647, 668, 678, 651, 660, 673, 674]",Northern Ireland
"[661, 681, 647, 668, 678, 651, 659, 673, 675]",Northern Ireland
"[661, 681, 647, 668, 678, 651, 659, 670, 676]",Northern Ireland
"[661, 681, 647, 677, 667, 678, 657, 652, 680]",Northern Ireland
"[661, 681, 647, 677, 667, 678, 657, 653, 659]",Northern Ireland
"[661, 681, 647, 677, 667, 678, 670, 651, 659]",Northern Ireland
"[661, 681, 647, 677, 666, 680, 652, 657, 684]",Northern Ireland
"[661, 681, 647, 677, 666, 659, 653, 657, 684]",Northern Ireland
"[661, 681, 647, 677, 666, 659, 651, 682, 671]",Northern Ireland
"[661, 681, 647, 677, 666, 659, 651, 670, 684]",Northern Ireland
"[661, 648, 668, 679, 675, 659, 650, 657, 683]",Northern Ireland
"[661, 648, 668, 679, 675, 659, 651, 656, 671]",Northern Ireland
"[661, 648, 668, 679, 675, 659, 651, 655, 683]",Northern Ireland
"[661, 648, 668, 679, 674, 660, 650, 657, 683]",Northern Ireland
