soln,triplet,region
"[28811, 28407, 28209]","[2077, 2021]",Northern Ireland
"[28811, 28297, 28256]","[2077, 2021]",Northern Ireland
"[28811, 28879, 28176]","[2077, 2021]",Northern Ireland
"[28811, 28265, 28283]","[2077, 2021]",Northern Ireland
"[28811, 28331, 28249]","[2077, 2021]",Northern Ireland
"[28811, 28501, 28181]","[2077, 2021]",Northern Ireland
"[28811, 28454, 28190]","[2077, 2021]",Northern Ireland
"[28761, 28229, 28877]","[2077, 2021]",Northern Ireland
"[28761, 28455, 28190]","[2077, 2021]",Northern Ireland
"[28761, 28222, 28411]","[2077, 2021]",Northern Ireland
"[28761, 28332, 28249]","[2077, 2021]",Northern Ireland
"[28761, 28179, 28505]","[2077, 2021]",Northern Ireland
"[28761, 28188, 28458]","[2077, 2021]",Northern Ireland
"[28761, 28428, 28204]","[2077, 2021]",Northern Ireland
"[28761, 28408, 28209]","[2077, 2021]",Northern Ireland
"[28761, 28281, 28258]","[2077, 2021]",Northern Ireland
"[28761, 28880, 28176]","[2077, 2021]",Northern Ireland
"[28761, 28502, 28181]","[2077, 2021]",Northern Ireland
"[28761, 28298, 28256]","[2077, 2021]",Northern Ireland
"[28761, 28266, 28283]","[2077, 2021]",Northern Ireland
"[28761, 28205, 28414]","[2077, 2021]",Northern Ireland
"[28808, 28297, 28259]","[2077, 2021]",Northern Ireland
"[28803, 28259, 28281]","[2077, 2021]",Northern Ireland
"[28803, 28429, 28205]","[2077, 2021]",Northern Ireland
"[28803, 28469, 28188]","[2077, 2021]",Northern Ireland
"[28735, 28333, 28249]","[2077, 2021]",Northern Ireland
"[28735, 28299, 28256]","[2077, 2021]",Northern Ireland
"[28735, 28503, 28181]","[2077, 2021]",Northern Ireland
"[28735, 28223, 28411]","[2077, 2021]",Northern Ireland
"[28735, 28252, 28335]","[2077, 2021]",Northern Ireland
"[28735, 28267, 28283]","[2077, 2021]",Northern Ireland
"[28735, 28259, 28280]","[2077, 2021]",Northern Ireland
"[28735, 28881, 28176]","[2077, 2021]",Northern Ireland
"[28735, 28409, 28209]","[2077, 2021]",Northern Ireland
"[28735, 28429, 28204]","[2077, 2021]",Northern Ireland
"[28735, 28456, 28190]","[2077, 2021]",Northern Ireland
"[28735, 28469, 28187]","[2077, 2021]",Northern Ireland
"[28807, 28407, 28259]","[2077, 2021]",Northern Ireland
"[28352, 28239, 28991]","[2032, 2049]",Northern Ireland
"[28352, 28276, 28411]","[2032, 2049]",Northern Ireland
"[28352, 28962, 28241]","[2032, 2049]",Northern Ireland
"[28352, 28409, 28261]","[2032, 2049]",Northern Ireland
"[28352, 28853, 28431]","[2032, 2049]",Northern Ireland
"[28352, 28448, 28256]","[2032, 2049]",Northern Ireland
"[28352, 28495, 28249]","[2032, 2049]",Northern Ireland
"[28352, 28252, 28497]","[2032, 2049]",Northern Ireland
"[28352, 28881, 28233]","[2032, 2049]",Northern Ireland
"[28352, 28858, 28234]","[2032, 2049]",Northern Ireland
"[28352, 28259, 28413]","[2032, 2049]",Northern Ireland
"[28352, 28503, 28248]","[2032, 2049]",Northern Ireland
"[28352, 28469, 28491]","[2032, 2049]",Northern Ireland
"[28352, 28964, 28228]","[2032, 2049]",Northern Ireland
"[28352, 28859, 28231]","[2032, 2049]",Northern Ireland
"[28352, 28847, 28231]","[2073, 2030]",Northern Ireland
"[28352, 28444, 28256]","[2073, 2030]",Northern Ireland
"[28352, 28490, 28249]","[2073, 2030]",Northern Ireland
"[28352, 28426, 28258]","[2073, 2030]",Northern Ireland
"[28411, 28698, 28628]","[1981, 2078]",Northern Ireland
"[28411, 28613, 28763]","[1981, 2078]",Northern Ireland
"[28411, 28629, 28701]","[1981, 2078]",Northern Ireland
"[28411, 28568, 28630]","[1981, 2078]",Northern Ireland
"[28411, 28555, 28811]","[1981, 2078]",Northern Ireland
"[28411, 28565, 28631]","[1981, 2078]",Northern Ireland
"[28411, 28556, 28706]","[1981, 2078]",Northern Ireland
"[28411, 28561, 28699]","[1981, 2078]",Northern Ireland
"[28411, 28566, 28692]","[1981, 2078]",Northern Ireland
"[28411, 28558, 28761]","[1981, 2078]",Northern Ireland
"[28755, 28290, 28256]","[2036, 2054]",Northern Ireland
"[28755, 28188, 28468]","[2036, 2054]",Northern Ireland
"[28755, 28324, 28249]","[2036, 2054]",Northern Ireland
"[28755, 28205, 28427]","[2036, 2054]",Northern Ireland
"[28755, 28197, 28431]","[2036, 2054]",Northern Ireland
"[28755, 28428, 28199]","[2036, 2054]",Northern Ireland
"[28755, 28281, 28257]","[2036, 2054]",Northern Ireland
"[28727, 28252, 28326]","[2036, 2054]",Northern Ireland
"[28727, 28469, 28186]","[2036, 2054]",Northern Ireland
"[28727, 28259, 28279]","[2036, 2054]",Northern Ireland
"[28727, 28429, 28199]","[2036, 2054]",Northern Ireland
"[28699, 28250, 28329]","[2036, 2054]",Northern Ireland
"[28699, 28262, 28279]","[2036, 2054]",Northern Ireland
"[28699, 28472, 28186]","[2036, 2054]",Northern Ireland
"[28699, 28296, 28256]","[2036, 2054]",Northern Ireland
"[28699, 28255, 28326]","[2036, 2054]",Northern Ireland
"[28699, 28210, 28427]","[2036, 2054]",Northern Ireland
"[28699, 28194, 28468]","[2036, 2054]",Northern Ireland
"[28699, 28287, 28257]","[2036, 2054]",Northern Ireland
"[28699, 28203, 28431]","[2036, 2054]",Northern Ireland
"[28699, 28330, 28249]","[2036, 2054]",Northern Ireland
"[28699, 28433, 28199]","[2036, 2054]",Northern Ireland
"[28630, 28177, 28505]","[2064, 2073]",Northern Ireland
"[28630, 28186, 28458]","[2064, 2073]",Northern Ireland
"[28630, 28199, 28414]","[2064, 2073]",Northern Ireland
"[28630, 28257, 28280]","[2064, 2073]",Northern Ireland
"[28630, 28292, 28263]","[2064, 2073]",Northern Ireland
"[28630, 28289, 28256]","[2064, 2073]",Northern Ireland
"[28630, 28279, 28258]","[2064, 2073]",Northern Ireland
"[28630, 28468, 28187]","[2064, 2073]",Northern Ireland
"[28630, 28227, 28877]","[2064, 2073]",Northern Ireland
"[28630, 28329, 28241]","[2064, 2073]",Northern Ireland
"[28630, 28264, 28283]","[2064, 2073]",Northern Ireland
"[28630, 28326, 28244]","[2064, 2073]",Northern Ireland
"[28630, 28427, 28204]","[2064, 2073]",Northern Ireland
"[28630, 28246, 28338]","[2064, 2073]",Northern Ireland
"[28630, 28202, 28411]","[2064, 2073]",Northern Ireland
"[28630, 28323, 28249]","[2064, 2073]",Northern Ireland
"[28630, 28500, 28181]","[2064, 2073]",Northern Ireland
"[28630, 28453, 28190]","[2064, 2073]",Northern Ireland
"[28630, 28196, 28431]","[2064, 2073]",Northern Ireland
"[28630, 28878, 28176]","[2064, 2073]",Northern Ireland
"[28630, 28406, 28209]","[2064, 2073]",Northern Ireland
"[28630, 28251, 28335]","[2064, 2073]",Northern Ireland
"[28803, 28288, 28256]","[2064, 2073]",Northern Ireland
"[28803, 28322, 28249]","[2064, 2073]",Northern Ireland
"[28803, 28195, 28431]","[2064, 2073]",Northern Ireland
