ons_const_id,ons_region_id,constituency_name,county,region,country,constituency_type,seat_change_1719,winner_19,electorate_19,total_vote_19,rejected_vote_19,majority_19,con_vote_19,lab_vote_19,ld_vote_19,brexit_vote_19,green_vote_19,snp_vote_19,pc_vote_19,dup_vote_19,sf_vote_19,sdlp_vote_19,uup_vote_19,alliance_vote_19,other_vote_19,speaker_vote_19,turnout_19,con_19,lab_19,ld_19,brexit_19,green_19,snp_19,pc_19,dup_19,sf_19,sdlp_19,uup_19,alliance_19,other_19,speaker_19,pano,winner_17,con_17,lab_17,ld_17,snp_17,pc_17,ukip_17,green_17,other_17,majority_17,turnout_17,con_vote_17,lab_vote_17,ld_vote_17,snp_vote_17,pc_vote_17,ukip_vote_17,green_vote_17,total_vote_17,rejected_vote_17,electorate_17,leave_hanretty,remain_hanretty,majority_vote_17,alliance_vote_17,dup_vote_17,sdlp_vote_17,sf_vote_17,uup_vote_17,other_vote_17,alliance_17,dup_17,sf_17,sdlp_17,uup_17,con_1719,lab_1719,ld_1719,green_1719,snp_1719,pc_1719,uup_1719,dup_1719,alliance_1719,sf_1719,sdlp_1719,green_ppc_19,ld_ppc_19,lab_ppc_19,ukip_ppc_19,pc_ppc_19,con_ppc_19,speaker_ppc_19,sdlp_ppc_19,snp_ppc_19,dup_ppc_19,brexit_ppc_19,alliance_ppc_19,uup_ppc_19,green_ppc_sex_19,ld_ppc_sex_19,lab_ppc_sex_19,ukip_ppc_sex_19,pc_ppc_sex_19,con_ppc_sex_19,speaker_ppc_sex_19,sdlp_ppc_sex_19,snp_ppc_sex_19,dup_ppc_sex_19,brexit_ppc_sex_19,alliance_ppc_sex_19,uup_ppc_sex_19
W07000049,W92000004,Aberavon,West Glamorgan,Wales,Wales,County,NA,Labour,50750,31598,82,10490,6518,17008,1072,3108,450,NA,2711,NA,NA,NA,NA,NA,731,NA,62.42364532019704,20.627887841002597,53.82619153110957,3.392619786062409,9.836065573770492,1.4241407684030636,NA,8.57965694031268,NA,NA,NA,NA,NA,2.3134375593391985,NA,1,Labour,17.73776602140195,68.11951424792593,1.8005290369123481,NA,8.299266562462426,4.042924131297343,NA,NA,50.381748226523996,66.68002886234265,5901,22662,599,NA,2761,1345,NA,33268,57,49892,60.12448399,39.87551601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8901218196006475,-14.293322716816363,1.592090749150061,NA,NA,0.280390377850253,NA,NA,NA,NA,NA,Giorgia Finney,Sheila Kingston-Jones,Stephen Kinnock,NA,Nigel Hunt,Charlotte Lang,NA,NA,NA,NA,Glenda Davies,NA,NA,Female,Female,Male,NA,Male,Female,NA,NA,NA,NA,Female,NA,NA
W07000058,W92000004,Aberconwy,Clwyd,Wales,Wales,County,NA,Conservative,44699,31865,123,2034,14687,12653,1821,NA,NA,NA,2704,NA,NA,NA,NA,NA,NA,NA,71.56312221749927,46.091322767927196,39.708143731366704,5.71473403420681,NA,NA,NA,8.485799466499294,NA,NA,NA,NA,NA,NA,NA,2,Conservative,44.59409020217729,42.61897356143079,2.926905132192846,NA,9.860031104199066,NA,NA,NA,1.9751166407465006,71.04815363196394,14337,13702,941,NA,3170,NA,NA,32150,78,45251,52.197117309999996,47.802882690000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4972325657499042,-2.9108298300640882,2.7878289020139637,NA,NA,-1.374231637699772,NA,NA,NA,NA,NA,NA,Jason Edwards,Emily Owen,NA,Lisa Goodier,Robin Millar,NA,NA,NA,NA,NA,NA,NA,NA,Male,Female,NA,Female,Male,NA,NA,NA,NA,NA,NA,NA
S14000001,S92000003,Aberdeen North,Scotland,Scotland,Scotland,Borough,NA,Scottish National Party,62489,37413,72,12670,7535,4939,2846,1008,880,20205,NA,NA,NA,NA,NA,NA,NA,NA,59.98655763414361,20.14005826851629,13.20129366797637,7.606981530484057,2.6942506615347606,2.3521235934033626,54.00529227808516,NA,NA,NA,NA,NA,NA,NA,NA,3,Scottish National Party,22.692276301112713,30.01061022390293,4.605925401964252,41.27105041216639,NA,NA,NA,1.420137660853726,11.260440188263459,59.16143569934009,8341,11031,1693,15170,NA,NA,NA,36757,55,62130,43.09220874,56.90779126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.5522180325964214,-16.809316555926557,3.0010561285198047,NA,12.734241865918769,NA,NA,NA,NA,NA,NA,Guy Ingerson,Isobel Davidson,Nurul Hoque Ali,NA,NA,Ryan Houghton,NA,NA,Kirsty Blackman,NA,Sebastian Leslie,NA,NA,Male,Female,Male,NA,NA,Male,NA,NA,Female,NA,Male,NA,NA
S14000002,S92000003,Aberdeen South,Scotland,Scotland,Scotland,Borough,Scottish National Party gain from Conservative,Scottish National Party,65719,45638,131,3990,16398,3834,5018,NA,NA,20388,NA,NA,NA,NA,NA,NA,NA,NA,69.6434820980234,35.93058416232087,8.400893991848898,10.995223278846575,NA,NA,44.673298566983654,NA,NA,NA,NA,NA,NA,NA,NA,4,Conservative,42.13247027622323,20.54929988987032,5.8660912952599285,31.45213853864653,NA,NA,NA,NA,10.680331737576697,68.48870143464072,18746,9143,2610,13994,NA,NA,NA,44493,63,64964,32.1431052,67.85689479999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.201886113902361,-12.148405898021421,5.129131983586647,NA,13.221160028337124,NA,NA,NA,NA,NA,NA,NA,Ian Yuill,Shona Simpson,NA,NA,Douglas Lumsden,NA,NA,Stephen Flynn,NA,NA,NA,NA,NA,Male,Female,NA,NA,Male,NA,NA,Male,NA,NA,NA,NA
S14000003,S92000003,Airdrie and Shotts,Scotland,Scotland,Scotland,County,NA,Scottish National Party,64011,39772,91,5201,7011,12728,1419,NA,685,17929,NA,NA,NA,NA,NA,NA,NA,NA,62.27523394416584,17.627979483053405,32.00241375842301,3.5678366690133765,NA,1.7223172080860907,45.07945288142412,NA,NA,NA,NA,NA,NA,NA,NA,6,Scottish National Party,23.19088469027946,37.09278459028472,2.110415241303089,37.60591547813273,NA,NA,NA,NA,0.513130887848008,59.24297695881271,8813,14096,802,14291,NA,NA,NA,38002,47,64146,39.83812657,60.16187343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.562905207226056,-5.090370831861712,1.4574214277102873,NA,7.473537403291388,NA,NA,NA,NA,NA,NA,Rosemary McGowan,William Crossman,Helen McFarlane,NA,NA,Lorraine Nolan,NA,NA,Neil Gray,NA,NA,NA,NA,Female,Male,Female,NA,NA,Female,NA,NA,Male,NA,NA,NA,NA
E14000530,E12000008,Aldershot,Hampshire,South East,England,Borough,NA,Conservative,72617,47932,251,16698,27980,11282,6920,NA,1750,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.35223157111972,58.37436368188267,23.537511474589003,14.437119252274055,NA,3.651005591254277,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Conservative,55.0561797752809,31.617977528089884,7.430030643513789,NA,NA,3.6690500510725226,2.226762002042901,NA,23.43820224719101,64.2346302736041,26950,15477,3637,NA,NA,1796,1090,48950,102,76205,57.89776574,42.10223426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3181839066017673,-8.080466053500881,7.007088608760266,1.4242435892113763,NA,NA,NA,NA,NA,NA,NA,Donna Wallace,Alan Hilliar,Howard James Kaye,NA,NA,Leo Docherty,NA,NA,NA,NA,NA,NA,NA,Female,Male,Male,NA,NA,Male,NA,NA,NA,NA,NA,NA,NA
E14000531,E12000005,Aldridge-Brownhills,West Midlands,West Midlands,England,Borough,NA,Conservative,60138,39342,152,19836,27850,8014,2371,NA,771,NA,NA,NA,NA,NA,NA,NA,336,NA,65.67228707306528,70.78948706217274,20.370087946723604,6.026638198363073,NA,1.9597376849168828,NA,NA,NA,NA,NA,NA,NA,0.8540491078236999,NA,8,Conservative,65.408226668323593,29.84963340375295,3.337889896855971,NA,NA,NA,NA,1.404250031067491,35.558593264570646,66.65507015887215,26317,12010,1343,NA,NA,NA,NA,40235,87,60363,67.79634958,32.20365042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.381260393849146,-9.479545457029346,2.688748301507102,NA,NA,NA,NA,NA,NA,NA,NA,Bill McComish,Ian Garrett,David Huw Morgan,NA,NA,Wendy Morton,NA,NA,NA,NA,NA,NA,NA,Male,Male,Male,NA,NA,Female,NA,NA,NA,NA,NA,NA,NA
E14000532,E12000002,Altrincham and Sale West,Greater Manchester,North West,England,Borough,NA,Conservative,73107,54763,173,6139,26311,20172,6036,NA,1566,NA,NA,NA,NA,NA,NA,NA,678,NA,75.14465099101318,48.04521300878331,36.835089385168814,11.022040428756643,NA,2.8595949820134035,NA,NA,NA,NA,NA,NA,NA,1.2380621952778335,NA,9,Conservative,51.01913241144156,38.846372419018756,7.673801856412199,NA,NA,NA,1.8942981625307824,0.5663951505967049,12.172759992422808,72.091879933357,26933,20507,4051,NA,NA,NA,1000,52790,132,73226,38.58779999,61.41220001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.973919402658254,-2.011283033849942,3.348238572344444,0.965296819482621,NA,NA,NA,NA,NA,NA,NA,Geraldine Coggins,Angela Smith,Andrew Western,NA,NA,Graham Brady,NA,NA,NA,NA,NA,NA,NA,Female,Female,Male,NA,NA,Male,NA,NA,NA,NA,NA,NA,NA
W07000043,W92000004,Alyn and Deeside,Clwyd,Wales,Wales,County,NA,Labour,62789,43008,121,213,18058,18271,2548,2678,NA,NA,1453,NA,NA,NA,NA,NA,NA,NA,68.68878306709773,41.987537202380956,42.482793898809526,5.924479166666666,6.226748511904762,NA,NA,3.3784412202380953,NA,NA,NA,NA,NA,NA,NA,10,Labour,40.39320822162645,52.08891867739053,2.4061662198391423,NA,2.616175156389634,2.495531724754245,NA,1.4210854715202004e-14,11.695710455764075,71.03296145239871,18080,23315,1077,NA,1171,1117,NA,44760,84,63013,58.053368750000004,41.946631249999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5943289807545042,-9.606124778581005,3.518312946827524,NA,NA,0.7622660638484615,NA,NA,NA,NA,NA,NA,Donna Lalek,Mark Tami,NA,Susan Hills,Sanjoy Sen,NA,NA,NA,NA,Simon Wall,NA,NA,NA,Female,Male,NA,Female,Male,NA,NA,NA,NA,Male,NA,NA
E14000533,E12000004,Amber Valley,Derbyshire,East Midlands,England,County,NA,Conservative,69976,45567,151,16886,29096,12210,2873,NA,1388,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.33382874128273,63.85322711611473,26.795707419843307,6.30500142647091,NA,3.0460640375710493,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Conservative,56.5475540808976,38.42963480386807,2.401170024666565,NA,NA,NA,1.4188731963938792,1.2027678941738884,18.117919277029536,67.30478219349152,25905,17605,1100,NA,NA,NA,650,45811,99,68065,65.29912472,34.700875280000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.305673035217133,-11.633927384024762,3.903831401804345,1.62719084117717,NA,NA,NA,NA,NA,NA,NA,Lian Pizzey,Kate Smith,Adam Thompson,NA,NA,Nigel Mills,NA,NA,NA,NA,NA,NA,NA,NA,Female,Male,NA,NA,Male,NA,NA,NA,NA,NA,NA,NA
