constituency,electorate_2017,county,region
Aldershot,"76,205",Hampshire,South East
Aldridge-Brownhills,"60,363",West Midlands,West Midlands
Altrincham and Sale West,"73,220",Greater Manchester,North West
Amber Valley,"68,065",Derbyshire,East Midlands
Arundel and South Downs,"80,766",West Sussex,South East
Ashfield,"78,099",Nottinghamshire,East Midlands
Ashford,"87,396",Kent,South East
Ashton-under-Lyne,"67,674",Greater Manchester,North West
Aylesbury,"82,546",Buckinghamshire,South East
Banbury,"83,818",Oxfordshire,South East
Barking,"77,020",London,London
Barnsley Central,"64,204",South Yorkshire,Yorkshire & the Humber
Barnsley East,"69,204",South Yorkshire,Yorkshire & the Humber
Barrow and Furness,"69,474",Cumbria,North West
Basildon and Billericay,"69,149",Essex,Eastern
Basingstoke,"81,873",Hampshire,South East
Bassetlaw,"78,535",Nottinghamshire,East Midlands
Bath,"66,769",Somerset,South West
Batley and Spen,"80,153",West Yorkshire,Yorkshire & the Humber
Battersea,"77,572",London,London
Beaconsfield,"77,534",Buckinghamshire,South East
Beckenham,"67,928",London,London
Bedford,"71,829",Bedfordshire,Eastern
Bermondsey and Old Southwark,"87,227",London,London
Berwick-upon-Tweed,"58,774",Northumberland,North East
Bethnal Green and Bow,"86,071",London,London
Beverley and Holderness,"80,657",East Riding of Yorkshire & Lincolnshire,Yorkshire & the Humber
Bexhill and Battle,"78,512",East Sussex,South East
Bexleyheath and Crayford,"65,315",London,London
Birkenhead,"64,484",Merseyside,North West
"Birmingham, Edgbaston","68,091",West Midlands,West Midlands
"Birmingham, Erdington","65,067",West Midlands,West Midlands
"Birmingham, Hall Green","78,271",West Midlands,West Midlands
"Birmingham, Hodge Hill","75,698",West Midlands,West Midlands
"Birmingham, Ladywood","70,023",West Midlands,West Midlands
"Birmingham, Northfield","72,322",West Midlands,West Midlands
"Birmingham, Perry Barr","74,374",West Midlands,West Midlands
"Birmingham, Selly Oak","75,092",West Midlands,West Midlands
"Birmingham, Yardley","72,581",West Midlands,West Midlands
Bishop Auckland,"67,661",County Durham,North East
Blackburn,"70,657",Lancashire,North West
